Gene Name,ZT1,ZT4,ZT7,ZT10,ZT13,ZT16,ZT19,ZT22
Gm15417,122.4959317,100.2176566,78.04515867,75.61432059,64.45890968,75.90724166,88.25874695,97.71562246
1700020M21Rik,5.084631009,2.911306703,2.430602573,1.970209885,2.674339878,2.132701422,3.229519296,3.994583615
BC037704,49.47817361,36.9141997,33.95383843,34.85198194,28.28399398,39.68891119,42.80983442,44.42047165
F420014N23Rik,5.010194625,4.352177943,3.588507878,2.800741427,2.430027804,2.337349398,3.16218721,2.765523633
A930001C03Rik,13.61164475,10.8142456,7.227722772,4.810107876,5.333234816,8.115856362,10.42116152,9.861090587
A930001C03Rik,13.93831215,10.84106811,7.239754391,4.79365986,5.434813651,8.14365272,10.39126089,9.950021419
Rcsd1,7.659,6.926,5.689,5.202,5.476,4.152,5.671,6.066
Camk2g,6.558,6.144,4.192,4.04,2.424,3.784,5.32,3.918
Usp6nl,22.226,19.057,9.841,15.098,7.002,14.059,7.829,16.034
Nab2,34.77284733,44.0306392,28.89329107,27.71262546,15.88483888,25.681458,33.20655045,30.65768621
Cd36,5.506,4.852,3.653,3.081,2.675,2.549,4.166,3.754
AI462493,61.47826087,67.20652174,50.55434783,44.38043478,35.52173913,38.84782609,52.09782609,56.48913043
Egfl7,68.91685171,55.32445102,51.8134715,49.83715766,44.82852208,49.73106341,56.09671848,52.54626203
Trmt112,124.2964635,134.8607976,107.3965388,103.5515425,79.69902182,91.55003762,109.5184349,117.8103837
Mta3,5.156,3.991,2.795,2.964,2.513,2.943,3.789,3.836
Mta3,5.156,3.991,2.795,2.964,2.513,2.943,3.789,3.836
E2f1,4.631117604,5.097394692,3.571950329,3.892135379,2.863403944,3.710737765,4.521548576,4.610421232
Flot1,7.40950074,6.31947248,7.280312206,5.984389719,3.502893285,3.78414749,6.145875387,5.051809985
Hlx,13.00388176,12.85458346,8.641385488,12.36787101,7.452971036,7.769483428,8.468199463,9.790982383
Igfbp1,449.6086957,419.8188406,273.5362319,37.85507246,116.8913043,68.74637681,138.0181159,287.2028986
Ndrg1,10.312,3.444,2.336,2.863,1.58,1.787,3.488,2.918
Casp6,6.708,6.418,5.27,3.023,2.101,2.313,3.363,2.885
Cd14,6.618387909,4.43324937,6.536523929,2.380352645,1.920654912,3.14231738,4.269521411,3.822418136
Coro1a,6.380409259,3.938275746,4.954713183,3.65649111,2.710499832,2.733981885,3.787319691,3.518953371
Cldn3,221.1559778,263.0482977,200.253365,202.2723674,151.3855899,173.111639,210.6096595,203.9271576
Figf,11.063,10.135,7.785,8.632,4.327,6.097,9.887,8.902
H2-Eb1,6.990236149,6.086512262,2.764532243,5.592643052,3.60808356,4.028156222,5.669845595,5.73342416
Mea1,33.81411884,31.79786694,22.60538344,25.61198578,17.04926359,19.61909599,24.98222448,27.14575927
Cited4,137.281399,112.2972973,110.127186,76.12082671,69.64228935,80.42130366,86.97138315,77.54372019
Scand1,33.79511059,40.54714785,31.37369034,22.84051222,15.26193248,28.45168801,24.54016298,32.25844005
Nenf,6.229349925,4.407852392,4.176142459,2.649645999,2.542372881,3.298648359,3.984123579,3.376957734
Dtnbp1,10.062,10.996,9.222,8.748,7.127,7.857,9.21,9.886
Syap1,6.307,5.439,5.29,5.028,4.524,3.101,5.119,5.443
Dynlt3,5.965147453,5.537682455,5.142984808,3.766756032,3.742925231,3.6401549,4.635090855,5.543640155
S100a16,15.30844997,14.40124417,10.76205288,9.642301711,9.212026957,9.67340591,10.27475376,11.47226542
9430023L20Rik,33.70306431,32.42770824,30.930082,22.73413897,18.71169616,21.71989642,30.3258524,27.06517048
Gpihbp1,38.60539846,30.93187661,25.9125964,17.08868895,21.11182519,25.84190231,23.0655527,29.92287918
Pold4,44.98271889,41.69930876,32.19470046,24.86175115,28.33525346,29.21658986,28.47926267,34.56221198
1700056E22Rik,13.98138573,8.097207859,7.84901758,7.21820062,5.76008273,5.977249224,7.011375388,8.138572906
Fabp12,9.361,8.413,3.992,3.4,3.519,3.337,4.04,4.049
Fam209,68.14520703,57.26602382,58.42314237,50.52750993,52.24049915,38.45717527,53.94781622,58.76914351
Lhpp,26.43,25.749,16.968,16.886,4.578,7.674,10.364,19.641
Mta3,5.156,3.991,2.795,2.964,2.513,2.943,3.789,3.836
Abhd17c,49.457,42.224,31.121,25.489,30.215,30.458,27.855,39.724
Spon2,6.071297317,3.737596472,1.245865491,0.801176038,0.79015068,0.481440647,3.506063947,2.348401323
Krcc1,33.739,39.719,32.019,28.686,25.314,28.066,30.515,33.773
Soat2,22.876,21.405,20.76,11.044,8.689,11.142,18.269,13.886
Zc3h12d,5.206,4.97,4.891,2.252,1.813,2.181,3.89,3.328
Hist1h4f,129.9679487,193.1410256,94.03846154,88.97435897,50.06410256,80.03205128,98.94230769,107.724359
Egfl7,60.62844084,47.55894879,46.34361691,47.33665732,39.66656279,41.21948686,45.48665212,51.39607354
Lzts3,19.73383553,18.17827997,13.75894539,13.82925298,10.54865035,13.36220967,17.48524796,14.55241682
5430402O13Rik,8.31,9.353,7.126,6.874,4.488,6.281,7.177,7.886
0610040B10Rik,17.91696492,17.92412312,12.29062276,15.91267001,10.66571224,13.72942019,15.98425197,17.13672155
2010320M18Rik,107.5033557,108.7248322,84.40268456,73.73154362,52.29530201,71.24832215,95.32885906,89.34228188
Phtf1os,8.994946659,9.668725435,7.394722066,6.855699045,4.435710275,4.722066255,7.608085345,7.456485121
2700046G09Rik,32.53936008,30.40629761,24.63687151,23.83951244,18.14626714,22.15337735,21.03098019,26.56170645
D130020L05Rik,42.82331919,42.04377932,24.38909984,40.76837168,23.50011168,28.40964932,30.43555953,41.38038865
1700012D01Rik,146.7842684,139.6471949,93.74783112,91.2724118,59.28860613,72.64893002,78.51937536,122.1283979
Gm9054,6.179698217,4.828532236,4.519890261,5.281207133,1.844993141,2.702331962,4.128943759,5.960219479
Lmna,16.619,17.727,11.857,15.404,9.874,11.458,14.756,16.28
Add1,5.356,5.439,4.372,4.287,3.25,4.257,4.141,4.377
Wsb1,77.74056029,87.94153471,51.66869671,53.45310597,22.08891596,34.7320341,22.31425091,66.79658952
Lmna,16.619,17.727,11.857,15.404,9.874,11.458,14.756,16.28
Zak,4.205,5.048,3.713,2.819,2.855,2.68,3.287,4.115
